id_cliente,n_compras,venta_total
504555,15,1014.9
504556,3,165.1
504557,2,46.4
504558,4,308.6
504559,1,42.1
504560,4,154.1
504561,6,413.2
504562,4,131.8
504563,4,130.7
504564,2,26.9
504565,6,76.4
504566,17,1122.5
504567,4,122.8
504568,5,186.0
504569,1,40.4
504570,4,158.9
504571,6,198.2
504572,6,150.6
504573,3,156.2
504574,1,52.7
504575,5,175.4
504576,7,77.9
504577,12,369.8
504578,8,234.8
504579,4,243.3
504580,16,414.6
504581,2,48.9
504582,14,464.6
504583,3,139.8
504584,18,1103.4
504585,11,235.7
504586,3,116.7
504587,19,474.9
504588,1,66.1
504589,3,35.5
504590,9,182.7
504591,12,1547.4
504592,2,139.8
504593,1,18.5
504594,3,600.6
504595,5,296.4
504596,8,293.0
504597,4,245.2
504598,6,104.0
504599,1,34.5
504600,6,187.1
504601,2,117.0
504602,15,854.4
504603,10,342.6
504604,4,117.4
504605,4,171.1
504606,4,226.8
504607,11,331.9
504608,6,219.2
504609,1,27.9
504610,3,81.5
504611,3,173.8
504612,8,302.3
504613,10,343.9
504614,6,133.8
504615,1,30.5
504616,2,66.1
504617,9,478.0
504618,2,74.6
504619,5,323.9
504620,10,500.9
504621,5,124.3
504622,5,213.7
504623,6,157.0
504624,4,92.5
504625,7,83.6
504626,13,745.6
504627,4,138.2
504628,1,94.4
504629,5,238.7
504630,7,168.5
504631,5,147.3
504632,10,305.1
504633,7,167.2
504634,8,185.9
504635,1,23.2
504636,8,252.4
504637,5,281.6
504638,10,489.8
504639,3,37.1
504640,1,53.1
504641,4,124.5
504642,9,323.6
504643,3,98.0
504644,1,16.2
504645,7,265.4
504646,8,652.0
504647,5,158.9
504648,2,57.6
504649,1,16.1
504650,8,166.1
504651,3,62.6
504652,1,24.5
504653,2,102.9
504654,7,254.1
504655,6,109.3
504656,1,28.4
504657,10,253.1
504658,3,166.6
504659,6,301.5
504660,4,191.6
504661,7,292.4
504662,4,137.7
504663,1,33.1
504664,10,257.5
504665,1,49.9
504666,1,28.8
504667,3,54.2
504668,3,123.2
504669,13,703.3
504670,1,41.8
504671,3,185.6
504672,6,168.8
504673,7,237.9
504674,2,102.6
504675,1,25.8
504676,4,200.6
504677,10,325.3
504678,10,206.7
504679,4,147.3
504680,7,373.3
504681,13,139.6
504682,3,79.0
504683,3,248.2
504684,1,49.8
504685,12,274.5
504686,4,128.4
504687,3,113.7
504688,7,846.9
504689,1,34.9
504690,1,66.7
504691,6,352.6
504692,2,37.8
504693,1,29.8
504694,2,162.1
504695,4,341.8
504696,4,108.7
504697,10,464.4
504698,4,197.3
504699,5,199.6
504700,15,490.6
504701,3,59.6
504702,6,144.0
504703,11,370.5
504704,6,358.0
504705,7,192.7
504706,4,113.9
504707,1,58.4
504708,4,79.7
504709,16,279.6
504710,1,82.5
504711,3,140.9
504712,5,107.0
504713,7,184.7
504714,6,127.4
504715,4,122.1
504716,4,183.0
504717,7,266.5
504718,5,180.2
504719,3,43.4
504720,2,171.8
504721,9,340.8
504722,6,125.9
504723,6,225.0
504724,6,226.8
504725,8,157.1
504726,2,51.4
504727,1,109.5
504728,7,159.7
504729,4,203.9
504730,3,117.2
504731,7,442.2
504732,3,200.8
504733,3,93.0
504734,2,131.9
504735,1,40.7
504736,2,48.6
504737,1,28.7
504738,3,158.4
504739,3,127.3
504740,4,193.2
504741,3,231.7
504742,9,167.2
504743,13,632.5
504744,1,36.5
504745,1,24.0
504746,3,171.3
504747,7,159.5
504748,1,93.5
504749,1,63.1
504750,14,423.0
504751,7,357.9
504752,1,28.5
504753,1,41.0
504754,5,211.9
504755,5,392.5
504756,2,102.2
504757,4,116.7
504758,11,155.6
504759,2,86.4
504760,1,22.9
504761,5,161.4
504762,1,39.3
504763,3,184.9
504764,3,137.4
504765,1,64.3
504766,12,251.6
504767,8,293.0
504768,13,650.5
504769,17,569.3
504770,1,43.7
504771,3,354.3
504772,6,280.2
504773,6,451.2
504774,3,44.9
504775,4,84.3
504776,3,98.0
504777,2,61.8
504778,4,108.4
504779,1,42.1
504780,6,365.6
504781,5,252.8
504782,9,494.1
504783,21,785.1
504784,3,296.0
504785,1,50.8
504786,5,200.6
504787,23,1040.6
504788,11,514.2
504789,2,119.7
504790,1,43.6
504791,8,296.6
504792,1,33.6
504793,5,113.5
504794,5,157.8
504795,12,339.5
504796,1,76.7
504797,9,246.1
504798,3,109.9
504799,11,274.7
504800,5,122.7
504801,6,128.6
504802,4,172.3
504803,3,43.8
504804,13,170.0
504805,2,64.8
504806,4,176.1
504807,1,37.3
504808,2,37.7
504809,2,161.1
504810,1,47.9
504811,6,213.3
504812,11,482.5
504813,4,56.3
504814,13,871.6
504815,14,349.4
504816,22,1050.2
504817,2,61.9
504818,6,234.5
504819,1,24.7
504820,3,57.3
504821,2,135.5
504822,15,475.1
504823,11,597.8
504824,8,443.2
504825,12,664.7
504826,9,698.8
504827,5,247.5
504828,1,41.3
504829,5,150.6
504830,11,592.7
504831,16,471.9
504832,6,208.2
504833,2,32.9
504834,4,88.4
504835,3,107.4
504836,2,92.7
504837,16,1376.7
504838,15,588.6
504839,10,555.8
504840,7,244.6
504841,3,139.3
504842,9,539.6
504843,10,368.0
504844,3,61.7
504845,8,413.2
504846,17,711.6
504847,1,42.1
504848,4,116.3
504849,3,252.1
504850,1,33.6
504851,9,166.3
504852,5,126.4
504853,5,193.6
504854,9,171.1
504855,14,397.0
504856,15,1314.3
504857,3,42.1
504858,4,83.1
504859,6,251.4
504860,7,161.9
504861,9,274.2
504862,3,91.1
504863,7,236.1
504864,13,229.9
504865,1,51.7
504866,2,88.0
504867,1,38.5
504868,2,21.2
504869,2,51.7
504870,5,187.2
504871,10,194.1
504872,2,99.8
504873,14,661.1
504874,4,141.8
504875,2,75.8
504876,7,194.6
504877,2,58.6
504878,9,358.6
504879,4,172.1
504880,12,455.2
504881,4,143.0
504882,2,51.8
504883,1,33.8
504884,9,257.7
504885,3,115.1
504886,2,89.1
504887,1,53.2
504888,7,158.1
504889,1,20.0
504890,2,43.2
504891,2,54.2
504892,6,164.3
504893,3,93.9
504894,2,38.4
504895,5,97.3
504896,12,241.5
504897,5,90.5
504898,4,82.2
504899,2,46.0
504900,3,236.9
504901,5,148.0
504902,2,94.5
504903,6,235.8
504904,9,489.4
504905,4,170.5
504906,4,334.7
504907,6,160.9
504908,6,240.0
504909,2,51.8
504910,17,293.3
504911,2,68.5
504912,2,70.6
504913,10,336.4
504914,12,391.7
504915,5,268.8
504916,2,67.7
504917,1,40.8
504918,7,501.1
504919,8,197.7
504920,5,126.7
504921,12,329.1
504922,8,230.7
504923,6,221.1
504924,6,320.2
504925,1,67.2
504926,1,51.0
504927,2,85.7
504928,1,46.8
504929,1,39.4
504930,3,130.7
504931,8,208.5
504932,5,290.6
504933,4,84.3
504934,3,90.5
504935,17,996.4
504936,1,34.5
504937,8,304.7
504938,6,101.7
504939,17,363.0
504940,6,145.5
504941,10,272.2
504942,2,165.3
504943,1,62.6
504944,1,40.8
504945,3,75.8
504946,4,630.6
504947,4,181.9
504948,7,187.3
504949,6,343.5
504950,2,58.8
504951,3,59.8
504952,1,53.5
504953,10,655.2
504954,6,90.4
504955,1,47.7
504956,1,79.7
504957,18,439.6
504958,3,224.4
504959,1,69.7
504960,3,52.2
504961,1,20.1
504962,2,36.6
504963,3,67.2
504964,3,68.6
504965,14,872.4
504966,2,25.0
504967,4,111.8
504968,6,232.9
504969,1,25.4
504970,5,150.5
504971,11,579.5
504972,13,1227.4
504973,2,103.2
504974,9,149.5
504975,8,520.0
504976,2,70.6
504977,3,167.4
504978,2,72.9
504979,8,260.5
504980,1,32.4
504981,6,467.4
504982,4,185.7
504983,9,263.1
504984,2,53.7
504985,2,131.1
504986,2,137.3
504987,4,228.7
504988,6,143.1
504989,16,704.2
504990,5,185.8
504991,7,240.4
504992,2,113.7
504993,3,70.0
504994,3,142.7
504995,5,89.1
504996,6,294.5
504997,1,63.9
504998,15,269.0
504999,3,83.4
505000,6,139.6
505001,2,73.7
505002,3,192.0
505003,5,203.8
505004,3,61.7
505005,3,77.0
505006,3,47.1
505007,2,50.9
505008,1,20.3
505009,7,129.6
505010,5,258.1
505011,4,93.2
505012,1,35.0
505013,4,157.8
505014,12,713.5
505015,2,87.5
505016,8,68.1
505017,3,137.1
505018,7,467.5
505019,2,195.3
505020,4,282.9
505021,10,366.8
505022,5,133.8
505023,4,159.6
505024,5,154.7
505025,3,65.1
505026,3,154.7
505027,1,9.0
505028,7,128.7
505029,6,113.7
505030,3,171.1
505031,5,229.2
505032,11,393.5
505033,8,465.3
505034,1,42.5
505035,2,112.3
505036,6,142.8
505037,13,332.0
505038,1,21.5
505039,9,288.5
505040,4,124.2
505041,7,206.5
505042,1,34.9
505043,10,621.2
505044,7,385.1
505045,1,40.7
505046,1,36.1
505047,20,1038.8
505048,10,305.0
505049,1,21.9
505050,18,1056.9
505051,8,190.0
505052,9,540.8
505053,1,67.4
505054,4,96.7
505055,5,129.2
505056,4,74.3
505057,11,289.0
505058,8,553.2
505059,2,62.2
505060,2,183.7
505061,2,112.5
505062,4,112.2
505063,2,66.2
505064,1,77.8
505065,10,544.4
505066,3,65.6
505067,6,233.6
505068,1,30.0
505069,4,58.0
505070,5,189.4
505071,8,153.0
505072,9,257.3
505073,4,46.8
505074,1,42.2
505075,2,63.1
505076,1,43.9
505077,3,137.1
505078,3,99.2
505079,6,74.8
505080,17,237.7
505081,2,23.2
505082,7,244.0
505083,15,1790.2
505084,4,155.8
505085,2,37.8
505086,9,674.7
505087,1,30.3
505088,1,45.2
505089,2,79.7
505090,2,61.8
505091,15,235.1
505092,1,35.7
505093,2,52.5
505094,4,91.2
505095,2,40.8
505096,5,154.5
505097,5,84.0
505098,3,139.2
505099,5,132.8
505100,12,883.2
505101,8,382.4
505102,2,70.6
505103,14,315.6
505104,3,81.7
505105,2,36.1
505106,4,96.2
505107,5,352.3
505108,8,393.9
505109,7,106.1
505110,1,40.2
505111,1,59.6
505112,3,196.2
505113,5,93.7
505114,1,143.8
505115,8,266.6
505116,9,229.1
505117,2,48.6
505118,1,35.0
505119,2,117.6
505120,9,294.2
505121,5,198.8
505122,14,527.3
505123,1,42.2
505124,1,34.2
505125,20,868.7
505126,1,84.0
505127,5,131.9
505128,6,113.8
505129,2,66.0
505130,13,273.9
505131,4,73.1
505132,3,112.2
505133,3,35.1
505134,2,26.5
505135,5,375.0
505136,1,69.5
505137,14,1661.3
505138,4,97.6
505139,6,262.2
505140,4,132.6
505141,7,247.2
505142,6,164.2
505143,8,76.0
505144,1,52.6
505145,6,315.1
505146,2,70.2
505147,2,26.6
505148,4,348.3
505149,4,140.4
505150,11,410.0
505151,3,264.9
505152,3,112.7
505153,6,179.8
505154,1,101.5
505155,10,254.9
505156,7,388.7
505157,2,49.3
505158,1,136.7
505159,3,97.3
505160,3,38.3
505161,1,42.9
505162,4,174.9
505163,10,141.6
505164,4,248.7
505165,10,226.1
505166,1,64.9
505167,5,691.3
505168,5,153.4
505169,4,127.0
505170,3,56.3
505171,9,713.9
505172,5,55.2
505173,2,121.0
505174,4,209.8
505175,2,51.9
505176,3,100.3
505177,2,51.6
505178,9,243.4
505179,3,140.0
505180,1,45.0
505181,5,127.1
505182,6,400.0
505183,6,117.6
505184,2,52.8
505185,18,822.6
505186,4,81.7
505187,2,67.4
505188,11,148.1
505189,1,29.2
505190,10,266.7
505191,4,94.9
505192,2,46.3
505193,2,76.7
505194,3,70.0
505195,1,20.6
505196,3,96.1
505197,2,133.2
505198,1,19.6
505199,6,318.5
505200,2,121.0
505201,1,120.4
505202,2,63.6
505203,2,66.8
505204,1,36.4
505205,4,166.8
505206,5,284.6
505207,3,75.1
505208,1,185.9
505209,7,282.0
505210,7,222.2
505211,7,156.4
505212,4,134.9
505213,1,36.1
505214,4,231.6
505215,16,556.6
505216,1,94.4
505217,3,43.9
505218,5,199.9
505219,1,27.8
505220,2,51.6
505221,8,286.4
505222,7,345.6
505223,4,155.6
505224,3,152.1
505225,6,439.7
505226,6,222.3
505227,5,150.3
505228,4,199.6
505229,3,67.2
505230,1,42.3
505231,4,128.0
505232,4,76.7
505233,9,629.0
505234,1,59.4
505235,4,434.9
505236,9,358.2
505237,10,501.9
505238,1,89.5
505239,12,174.7
505240,8,300.9
505241,17,735.4
505242,1,66.4
505243,10,1247.0
505244,14,330.4
505245,6,301.4
505246,4,289.7
505247,4,299.0
505248,13,571.3
505249,1,51.2
505250,2,45.0
505251,1,79.9
505252,4,64.2
505253,2,36.0
505254,9,441.2
505255,4,138.0
505256,5,159.0
505257,2,73.0
505258,7,193.8
505259,5,88.8
505260,1,68.3
505261,2,76.0
505262,4,47.6
505263,2,85.2
505264,6,137.7
505265,3,44.0
505266,4,88.6
505267,2,124.9
505268,11,750.1
505269,3,159.5
505270,5,98.0
505271,2,72.1
505272,4,232.9
505273,1,17.7
505274,1,51.1
505275,2,82.2
505276,5,896.6
505277,7,565.6
505278,6,194.5
505279,16,567.7
505280,3,72.0
505281,7,171.0
505282,13,249.1
505283,3,52.3
505284,1,32.3
505285,2,84.9
505286,8,263.7
505287,8,206.5
505288,1,26.8
505289,2,87.6
505290,2,62.0
505291,4,95.8
505292,7,232.7
505293,2,119.7
505294,3,108.1
505295,6,285.6
505296,3,46.1
505297,1,73.5
505298,16,1017.7
505299,1,51.1
505300,3,62.9
505301,4,152.5
505302,3,73.4
505303,8,178.8
505304,2,29.9
505305,4,69.4
505306,3,60.4
505307,6,436.3
505308,4,91.2
505309,2,154.0
505310,3,144.9
505311,7,320.2
505312,3,53.9
505313,4,170.2
505314,2,34.1
505315,2,37.7
505316,7,307.0
505317,10,600.8
505318,5,118.7
505319,13,464.1
505320,3,106.3
505321,3,257.4
505322,3,101.1
505323,10,360.3
505324,3,147.2
505325,4,237.0
505326,2,54.6
505327,1,78.3
505328,4,162.3
505329,3,121.2
505330,3,124.9
505331,5,72.1
505332,1,26.9
505333,6,308.8
505334,2,60.6
505335,10,554.0
505336,6,341.5
505337,1,97.7
505338,6,106.9
505339,5,485.5
505340,4,93.7
505341,1,49.3
505342,7,385.1
505343,8,436.2
505344,3,138.0
505345,4,187.7
505346,2,52.7
505347,5,297.6
505348,5,197.0
505349,3,127.9
505350,2,90.4
505351,2,107.5
505352,4,96.3
505353,4,61.4
505354,3,144.4
505355,2,38.0
505356,18,189.5
505357,6,264.4
505358,7,128.8
505359,4,223.3
505360,19,736.9
505361,2,125.5
505362,2,103.5
505363,4,199.9
505364,1,25.2
505365,1,56.8
505366,7,167.8
505367,4,275.8
505368,1,31.8
505369,5,107.6
505370,9,336.6
505371,2,40.6
505372,7,540.2
505373,9,473.1
505374,5,61.2
505375,5,162.8
505376,1,49.1
505377,1,40.4
505378,2,68.1
505379,8,320.9
505380,17,213.5
505381,1,101.5
505382,3,105.1
505383,8,245.5
505384,3,77.8
505385,3,298.3
505386,1,37.3
505387,4,121.9
505388,6,202.1
505389,2,68.0
505390,5,44.4
505391,2,45.8
505392,1,56.3
505393,4,327.7
505394,5,139.1
505395,4,105.7
505396,3,247.9
505397,3,287.6
505398,1,41.2
505399,2,119.6
505400,9,512.3
505401,5,282.4
505402,3,88.0
505403,3,64.7
505404,2,118.2
505405,1,82.2
505406,8,341.2
505407,2,80.7
505408,4,110.7
505409,3,120.6
505410,1,47.2
505411,3,170.3
505412,3,62.3
505413,4,158.3
505414,6,415.6
505415,1,45.0
505416,2,191.8
505417,7,345.4
505418,3,134.4
505419,2,71.6
505420,7,496.4
505421,3,254.4
505422,2,47.8
505423,13,670.3
505424,6,527.6
505425,4,146.7
505426,5,237.9
505427,4,156.9
505428,17,505.7
505429,8,339.2
505430,5,184.1
505431,3,147.3
505432,2,38.4
505433,3,164.6
505434,1,75.4
505435,2,66.6
505436,3,294.7
505437,6,135.0
505438,2,44.7
505439,5,188.8
505440,17,1048.9
505441,4,117.4
505442,6,368.9
505443,6,204.8
505444,23,652.4
505445,5,432.0
505446,7,198.2
505447,1,30.9
505448,1,32.3
505449,2,118.3
505450,5,171.2
505451,1,42.4
505452,8,298.0
505453,3,104.4
505454,19,995.3
505455,16,337.9
505456,4,59.4
505457,4,87.8
505458,13,495.5
505459,11,296.9
505460,6,150.2
505461,2,107.7
505462,3,105.8
505463,2,127.6
505464,1,62.9
505465,9,300.5
505466,3,192.1
505467,5,56.7
505468,8,304.9
505469,3,168.9
505470,2,44.1
505471,1,49.4
505472,5,80.8
505473,4,146.0
505474,9,200.6
505475,6,220.6
505476,9,362.5
505477,5,114.9
505478,10,308.2
505479,1,60.6
505480,4,154.8
505481,5,290.4
505482,2,37.1
505483,1,48.2
505484,4,327.7
505485,8,530.7
505486,6,60.8
505487,11,295.8
505488,8,179.3
505489,1,37.2
505490,15,588.8
505491,11,894.7
505492,1,37.5
505493,6,126.9
505494,6,260.2
505495,12,352.1
505496,16,312.2
505497,25,439.0
505498,6,267.8
505499,8,302.1
505500,1,40.8
505501,5,143.8
505502,2,66.7
505503,2,67.0
505504,4,152.7
505505,1,20.8
505506,7,316.5
505507,1,50.6
505508,8,357.4
505509,7,253.9
505510,3,180.1
505511,6,235.6
505512,3,135.8
505513,4,125.9
505514,3,91.0
505515,2,40.9
505516,8,432.7
505517,1,33.9
505518,6,406.3
505519,4,352.9
505520,3,150.1
505521,5,97.6
505522,3,69.8
505523,2,82.9
505524,5,212.4
505525,5,282.0
505526,3,107.2
505527,1,35.2
505528,1,24.7
505529,2,66.5
505530,4,140.7
505531,25,1277.9
505532,3,105.8
505533,1,26.4
505534,1,56.8
505535,10,156.4
505536,8,261.0
505537,3,142.6
505538,2,26.7
505539,3,48.0
505540,5,155.9
505541,7,227.0
505542,2,51.0
505543,3,378.1
505544,8,174.0
505545,1,34.1
505546,5,101.1
505547,6,121.5
505548,6,328.0
505549,6,114.6
505550,3,95.3
505551,5,183.3
505552,10,410.4
505553,24,617.2
505554,4,74.5
505555,4,76.8
505556,2,65.2
505557,1,37.0
505558,10,356.3
505559,5,76.3
505560,5,275.5
505561,1,30.0
505562,5,296.9
505563,7,210.4
505564,3,122.0
505565,6,149.2
505566,4,256.9
505567,3,62.7
505568,4,234.1
505569,5,126.2
505570,2,55.5
505571,3,182.4
505572,3,97.9
505573,2,146.8
505574,7,455.8
505575,1,14.6
505576,14,487.2
505577,13,580.6
505578,3,94.5
505579,3,144.1
505580,6,112.9
505581,3,70.9
505582,3,182.7
505583,1,33.4
505584,7,421.0
505585,8,168.3
505586,3,114.2
505587,1,75.2
505588,2,147.8
505589,2,50.7
505590,4,81.9
505591,1,25.3
505592,2,132.5
505593,1,49.2
505594,3,142.8
505595,3,66.6
505596,7,121.3
505597,13,364.4
505598,7,338.3
505599,5,118.2
505600,11,311.9
505601,1,58.0
505602,4,155.3
505603,7,197.9
505604,1,31.6
505605,10,360.2
505606,7,127.8
505607,2,108.7
505608,1,58.5
505609,7,212.2
505610,3,87.8
505611,1,66.5
505612,3,483.3
505613,1,45.4
505614,6,179.2
505615,1,43.0
505616,8,614.4
505617,2,107.8
505618,8,290.6
505619,9,330.6
505620,5,176.1
505621,8,131.4
505622,1,74.6
505623,2,52.6
505624,2,82.9
505625,2,39.2
505626,2,58.4
505627,8,414.0
505628,12,534.7
505629,4,180.0
505630,2,132.2
505631,4,80.1
505632,9,118.1
505633,2,57.1
505634,8,320.9
505635,5,111.4
505636,1,21.2
505637,5,530.2
505638,2,52.2
505639,9,727.5
505640,1,61.0
505641,15,807.8
505642,2,123.8
505643,2,72.6
505644,11,237.0
505645,8,330.6
505646,3,107.8
505647,3,234.5
505648,18,938.2
505649,2,36.7
505650,3,75.1
505651,1,39.4
505652,12,646.8
505653,2,34.3
505654,2,165.2
505655,5,79.4
505656,4,247.9
505657,1,42.2
505658,3,158.9
505659,3,119.0
505660,1,15.1
505661,2,63.3
505662,7,187.4
505663,4,161.0
505664,15,519.7
505665,1,71.6
505666,9,568.2
505667,1,48.3
505668,2,57.0
505669,5,120.5
505670,16,604.4
505671,2,58.2
505672,2,113.7
505673,7,90.5
505674,6,195.2
505675,1,52.1
505676,3,409.2
505677,5,197.5
505678,3,301.1
505679,6,222.4
505680,9,629.8
505681,1,42.1
505682,1,48.1
505683,7,234.0
505684,2,52.9
505685,3,117.4
505686,12,401.8
505687,5,283.7
505688,7,72.0
505689,2,40.3
505690,6,156.6
505691,4,61.5
505692,13,357.0
505693,4,156.3
505694,1,44.1
505695,11,553.4
505696,1,56.7
505697,1,95.1
505698,4,192.9
505699,7,492.6
505700,6,186.4
505701,11,1144.2
505702,7,361.4
505703,11,476.3
505704,9,320.1
505705,2,51.6
505706,2,76.4
505707,1,19.1
505708,3,103.9
505709,9,268.1
505710,3,94.0
505711,2,35.9
505712,4,75.3
505713,5,413.0
505714,8,289.7
505715,10,512.9
505716,2,35.5
505717,12,201.7
505718,6,240.2
505719,6,270.8
505720,2,60.7
505721,3,108.8
505722,5,120.3
505723,4,233.5
505724,3,242.0
505725,2,120.8
505726,2,32.9
505727,1,49.0
505728,5,161.8
505729,11,349.2
505730,2,86.8
505731,22,704.4
505732,4,155.3
505733,3,98.0
505734,2,42.0
505735,8,165.4
505736,3,109.3
505737,2,50.7
505738,7,448.2
505739,16,949.2
505740,3,88.9
505741,14,644.6
505742,25,1059.4
505743,2,65.0
505744,7,334.5
505745,8,363.1
505746,9,268.4
505747,13,196.1
505748,3,71.7
505749,5,360.0
505750,10,142.9
505751,4,282.0
505752,2,48.6
505753,1,18.5
505754,14,291.7
505755,3,32.6
505756,4,52.9
505757,8,423.9
505758,4,55.8
505759,7,130.0
505760,2,65.6
505761,1,40.6
505762,1,53.8
505763,2,69.1
505764,1,39.1
505765,1,52.2
505766,9,462.8
505767,7,319.6
505768,1,73.1
505769,3,41.8
505770,3,59.0
505771,6,278.1
505772,2,51.5
505773,2,52.7
505774,6,224.2
505775,7,132.4
505776,2,89.1
505777,7,219.1
505778,4,113.2
505779,1,28.9
505780,1,24.2
505781,6,136.5
505782,4,82.7
505783,6,172.0
505784,2,70.7
505785,9,235.4
505786,1,116.6
505787,3,193.2
505788,4,64.3
505789,4,141.6
505790,2,96.9
505791,3,405.8
505792,2,41.8
505793,4,482.0
505794,6,132.4
505795,11,410.5
505796,3,56.8
505797,3,102.1
505798,1,23.9
505799,12,354.0
505800,9,590.3
505801,9,349.8
505802,3,144.6
505803,3,41.2
505804,5,71.2
505805,4,234.9
505806,6,536.8
505807,6,220.9
505808,2,84.9
505809,3,49.6
505810,1,38.6
505811,11,952.4
505812,3,272.8
505813,6,238.6
505814,4,52.4
505815,9,452.6
505816,3,101.8
505817,2,42.5
505818,4,214.1
505819,10,751.6
505820,7,330.3
505821,10,559.0
505822,12,408.8
505823,3,119.4
505824,3,158.1
505825,1,55.8
505826,4,95.1
505827,4,251.0
505828,2,24.2
505829,7,281.2
505830,7,574.4
505831,1,52.9
505832,9,604.3
505833,1,55.4
505834,2,150.3
505835,2,113.3
505836,1,24.0
505837,2,148.3
505838,5,295.1
505839,10,269.1
505840,17,350.3
505841,1,49.0
505842,15,598.2
505843,2,88.9
505844,2,78.0
505845,3,122.0
505846,15,646.7
505847,4,313.5
505848,11,943.0
505849,9,379.6
505850,1,31.9
505851,6,184.2
505852,11,333.2
505853,2,63.1
505854,6,90.8
505855,7,177.2
505856,2,71.6
